TANGGAL;TN;TX;TAVG;RH_AVG;RR;SS;FF_X;DDD_X;FF_AVG;DDD_CAR
2020-01-16;24.0;33.4;27.9;84.0;0.0;1.0;4;50;1;W 
2020-01-30;25.0;33.4;28.2;85.0;3.0;7.8;4;330;2;NW
2020-02-14;25.4;34.4;29.9;69.0;0.0;7.7;4;300;3;W 
2020-02-19;24.8;32.6;28.4;80.0;1.35;0.1;4;210;2;SW
2020-02-23;24.533333333333335;34.2;29.2;72.0;0.0;7.1;5;270;3;W 
2020-02-24;24.066666666666666;34.4;29.1;71.0;0.0;7.5;5;280;3;W 
2020-03-12;25.5;35.0;30.2;74.0;0.0;7.7;5;270;3;W 
2020-03-15;25.1;33.2;29.3;76.0;0.0;2.7;5;280;3;W 
2020-03-19;24.6;33.2;29.1;75.0;0.0;8.0;9;240;3;W 
2020-03-23;23.85;35.8;29.4;75.0;0.0;6.5;4;250;2;N 
2020-03-30;24.85;32.0;28.2;82.0;4.55;4.3;4;190;2;SW
2020-04-07;24.4;34.0;28.5;81.0;0.0;7.8;3;30;2;N 
2020-06-06;24.35;29.4;27.3;86.0;0.4666666666666667;4.9;3;180;2;N 
2020-06-22;24.85;30.2;27.2;88.0;5.3;4.6;3;160;1;C 
2020-06-23;24.7;32.4;26.9;86.0;4.0;0.3;2;350;1;C 
2020-06-24;24.549999999999997;28.6;26.1;91.0;1.0;3.0;3;60;1;NW
2020-07-10;25.0;31.0;26.7;85.0;34.7;0.7;2;220;1;N 
2020-08-12;24.6;33.0;28.3;82.0;1.5;3.7;4;10;2;N 
2020-09-25;23.9;32.9;27.7;83.0;49.05;5.2;3;330;1;C 
2020-09-30;25.0;32.8;28.6;79.0;0.6;1.7;5;140;2;C 
2020-10-04;25.2;33.2;28.4;80.0;2.8;2.6;4;330;2;N 
2020-10-07;24.7;31.2;27.4;88.0;4.3;1.6;2;290;1;C 
2020-10-19;24.25;27.2;24.7;92.0;17.1;0.2;2;220;1;C 
2020-10-31;25.0;32.6;27.5;78.0;43.5;7.8;3;250;2;W 
2020-11-05;24.7;34.4;29.1;76.0;8.833333333333332;2.8;4;20;3;E 
2020-11-10;24.4;34.0;28.8;78.0;5.0;6.6;3;180;2;W 
2020-11-15;25.799999999999997;32.8;28.5;81.0;1.3;1.0;3;360;2;N 
2020-11-20;25.3;34.0;28.9;79.0;3.8;2.1;2;20;1;C 
2020-11-25;24.35;33.2;28.0;86.0;0.6;1.4;5;320;2;NW
2020-11-30;23.549999999999997;29.6;26.1;85.0;15.9;4.4;2;310;0;C 
2020-12-08;26.700000000000003;34.0;28.5;83.0;2.5;2.2;4;90;2;E 
2020-12-29;23.0;31.6;26.2;88.0;0.5;0.2;6;230;2;C 
2020-12-30;23.0;33.4;28.2;83.0;1.6;0.9;5;250;3;W 
2021-01-09;24.200000000000003;33.6;27.6;84.0;15.5;4.5;4;270;2;W 
2021-02-01;24.65;33.2;28.8;79.0;0.0;5.6;4;90;2;E 
2021-03-05;23.1;30.0;27.2;84.0;1.0;2.2;4;30;2;NE
2021-03-18;23.2;32.0;27.2;86.0;3.5;7.9;4;350;2;N 
2021-03-20;23.0;32.0;27.4;84.0;6.5;8.0;5;290;2;C 
2021-03-25;24.5;30.8;27.6;85.0;0.6;4.4;3;60;2;NE
2021-03-30;25.05;32.0;27.1;83.0;12.3;4.3;3;280;2;W 
2021-04-06;24.200000000000003;31.6;26.6;82.0;54.7;1.2;3;160;2;E 
2021-04-15;23.5;30.4;25.5;88.0;8.2;4.1;4;310;2;W 
2021-04-27;24.3;33.2;27.9;81.0;24.6;4.5;3;170;1;C 
2021-05-04;25.5;31.9;28.0;83.0;3.7;5.1;3;10;2;E 
2021-05-16;25.4;29.3;27.1;90.0;2.0;3.1;3;130;1;C 
2021-06-01;25.7;33.2;28.9;80.0;17.7;4.2;4;200;2;S 
2021-06-02;25.1;33.8;28.9;79.0;5.899999999999999;6.5;4;230;3;S 
2021-06-15;23.6;31.4;27.6;83.0;2.05;3.5;3;100;2;E 
2021-06-25;24.599999999999998;31.3;27.2;84.0;32.6;3.1;4;270;2;W 
2021-06-26;25.0;33.2;27.9;80.0;5.0;3.3;3;110;2;SE
2021-06-30;24.6;32.0;28.0;82.0;3.1;2.2;3;170;2;S 
2021-07-08;24.2;29.8;26.3;89.0;16.439999999999998;6.5;4;200;2;C 
2021-07-14;24.0;31.2;27.1;86.0;1.3;1.4;4;290;2;W 
2021-07-18;24.6;34.2;28.6;79.0;0.0;1.8;4;240;2;S 
2021-07-20;24.9;33.2;27.3;84.0;5.0;4.6;4;180;2;S 
2021-07-24;24.7;33.8;28.9;78.0;0.0;5.6;4;210;3;SW
2021-08-01;25.9;32.8;27.9;79.0;0.0;0.2;4;220;3;SW
2021-09-02;24.266666666666666;33.0;27.8;83.0;8.733333333333334;1.4;5;230;2;W 
2021-09-03;23.533333333333335;31.0;27.5;82.0;11.8;4.9;4;250;2;SW
2021-09-08;24.700000000000003;32.2;26.8;89.0;21.2;6.3;5;140;1;C 
2021-09-17;22.8;32.3;27.5;82.0;0.5;0.5;3;190;1;S 
2021-09-26;25.0;32.0;27.9;83.0;0.25;4.3;5;190;2;S 
2021-10-10;24.7;34.4;26.0;92.0;8.6;7.1;5;320;2;SW
2021-10-12;24.3;33.2;29.9;70.0;8.6;3.8;4;190;3;S 
2021-10-24;25.4;34.2;28.4;82.0;2.066666666666667;3.2;4;290;2;C 
2021-11-01;24.6;34.0;29.5;76.0;9.0;7.4;4;350;2;C 
2021-11-15;24.1;29.4;27.3;86.0;5.6;5.0;5;310;2;N 
2021-11-23;25.799999999999997;33.8;29.2;79.0;3.7;5.6;3;330;2;NE
2022-02-03;24.6;33.6;28.2;76.0;0.0;5.3;4;100;2;E 
2022-02-08;24.6;32.4;27.1;82.0;0.2;3.3;4;20;2;NE
2022-02-15;24.35;33.0;27.8;83.0;9.1;4.9;4;210;2;C 
2022-02-27;23.299999999999997;34.6;28.4;72.0;0.2;5.8;5;320;3;NW
2022-03-20;24.2;28.5;25.3;92.0;5.6;3.9;3;320;1;NW
2022-04-20;26.2;34.0;28.8;80.0;14.8;5.4;3;130;2;N 
2022-04-25;23.5;34.0;28.15;94.0;20.75;4.5;4;300;2;N 
2022-05-01;24.0;33.7;29.0;80.0;1.7;2.0;5;90;2;E 
2022-05-07;25.6;33.8;29.2;81.0;0.0;4.1;3;80;2;N 
2022-05-09;25.25;33.1;27.6;86.0;1.5;0.2;3;280;2;N 
2022-06-10;25.299999999999997;34.0;28.1;82.0;1.0;2.6;3;290;2;N 
2022-06-13;24.8;33.0;27.8;84.0;14.3;1.7;3;320;1;C 
2022-07-06;25.5;33.8;28.1;81.0;6.5;0.0;3;210;2;SW
2022-07-08;25.15;33.2;28.0;84.0;0.75;1.0;4;140;2;S 
2022-07-12;24.950000000000003;33.4;28.5;81.0;1.5;1.3;3;140;2;SW
2022-07-16;23.5;31.8;28.0;84.0;36.25;2.7;4;120;2;S 
2022-07-20;24.65;33.0;27.9;82.0;8.620000000000001;2.2;4;140;1;SE
2022-08-04;25.133333333333333;31.4;26.8;89.0;0.5;1.5;4;260;2;W 
2022-08-05;25.066666666666666;32.0;27.4;84.0;25.0;4.1;5;250;2;W 
2022-08-11;25.15;34.0;28.2;82.0;7.0;0.9;5;160;2;SE
2022-09-04;24.65;32.2;27.5;86.0;18.0;3.5;3;180;2;S 
2022-09-08;24.25;32.8;27.0;86.0;41.0;0.9;4;340;2;W 
2022-09-12;24.5;33.4;27.1;84.0;8.0;0.0;4;140;2;NW
2022-10-12;23.9;33.0;27.0;82.0;21.5;3.5;3;240;2;SW
2022-10-14;24.299999999999997;34.3;28.4;76.0;14.5;3.6;3;230;2;W 
2022-11-16;25.1;32.4;27.4;84.0;37.6;1.8;4;290;2;W 
2022-11-19;24.700000000000003;30.0;26.0;85.0;6.0;0.0;5;210;2;SW
2022-11-29;24.5;29.4;26.8;84.0;7.0;7.0;3;290;2;C 
2022-12-01;24.55;32.4;27.3;82.0;3.5;6.9;3;300;2;NW
2022-12-17;23.95;30.6;26.6;88.0;1.9;2.0;4;270;2;NE
2023-02-10;22.85;32.7;27.0;84.0;0.0;8.5;5;30;3;E 
2023-03-10;23.2;32.2;27.5;82.0;12.5;8.6;4;360;2;N 
2023-03-16;23.55;33.0;27.1;82.0;16.7;2.6;4;70;1;C 
2023-07-29;21.5;33.0;26.8;79.0;0.0;7.7;5;190;2;S 
2023-12-02;24.1;31.0;27.3;87.0;5.8;9.0;3;290;1;C 
2024-01-06;23.8;32.3;27.6;84.0;9.375;8.5;5;40;2;NE
2024-05-03;24.7;33.7;28.9;97.0;16.5;5.0;3;210;1;C 
2024-07-08;24.65;29.6;25.200000000000003;95.0;23.9;1.05;3;290;1;W
2020-06-12;26.0;33.0;28.8;81.0;0.0;3.0;3;50;2;SE
2020-10-25;26.8;34.400000000000006;28.45;80.0;0.0;7.8;4;250;2;NE
2022-05-18;24.0;33.2;27.7;84.0;5.0;2.7;4;100;2;E 
2022-05-30;23.0;32.6;28.1;80.0;0.0;1.7;4;30;2;NE
2022-06-08;24.2;32.3;28.5;78.0;4.333333333333333;3.5;3;10;2;E 
2022-06-16;25.2;30.15;28.0;84.0;5.0;3.0;3;30;2;E 
2022-08-06;25.0;32.05;26.5;86.0;16.666666666666664;3.1;4;250;2;W 
2022-09-20;24.8;32.1;27.5;82.0;15.75;1.1;4;270;2;W 
2022-09-23;23.2;31.5;28.1;81.0;101.3;4.5;3;130;2;NW
2020-05-01;25.0;32.4;27.3;89.5;18.8;0.6;5;220;2;SW
2020-06-18;24.5;33.4;27.75;85.5;4.0;2.9;3;350;2;N 
2021-05-25;24.8;31.2;28.85;80.0;9.1;3.0;4;350;2;NW
2021-08-23;24.6;29.0;26.5;87.5;7.7;0.1;2;270;1;SW
2021-08-27;24.0;34.2;26.9;86.0;7.5;6.1;4;280;3;W 
2023-09-19;24.0;31.2;27.1;89.0;7.2;1.5;4;240;2;W 
2020-01-05;24.8;31.0;27.6;82.0;1.15;4.9;4;320;2;NW
2020-01-13;24.0;35.0;28.4;82.0;25.75;3.8;4;210;2;N 
2020-02-02;24.4;34.2;28.7;72.0;1.35;7.2;5;230;3;W 
2020-02-07;25.0;29.0;26.8;89.0;24.8;4.1;4;310;2;NW
2020-02-12;24.8;34.2;28.8;75.0;0.0;8.0;6;250;3;NW
2020-02-16;24.4;32.2;27.9;82.0;0.2333333333333333;5.3;4;250;2;W 
2020-02-17;25.6;33.8;28.3;84.0;0.4666666666666666;3.5;4;270;2;NE
2020-02-26;26.6;34.0;29.8;73.0;0.0;8.0;5;270;3;N 
2020-02-27;25.0;33.4;29.2;75.0;0.0;3.2;3;350;2;N 
2020-03-02;25.0;34.8;30.2;77.0;0.5;7.8;5;260;2;W 
2020-03-04;25.0;29.0;27.5;86.0;2.2333333333333334;7.0;3;40;1;C 
2020-03-05;24.8;32.6;27.9;84.0;3.466666666666667;0.0;3;340;2;N 
2020-03-14;25.4;33.4;29.1;77.0;0.0;7.5;4;270;2;N 
2020-03-25;24.6;33.6;28.9;77.0;4.6;2.9;5;250;2;N 
2020-04-10;25.0;33.8;29.2;80.0;3.0;4.9;4;210;2;NW
2020-04-12;24.6;34.0;29.0;78.0;2.5;0.7;4;250;2;W 
2020-04-16;24.6;34.8;29.9;72.0;0.0;6.8;4;270;2;W 
2020-04-24;25.2;36.2;28.5;83.0;28.5;5.1;3;350;2;N 
2020-04-28;25.0;31.2;27.5;86.0;6.65;5.5;3;340;2;E 
2020-05-02;25.2;32.0;28.0;88.0;18.4;5.1;4;240;1;C 
2020-05-04;24.0;33.4;28.8;83.0;9.45;3.3;3;190;1;C 
2020-05-06;25.8;34.4;29.9;81.0;0.6000000000000001;5.8;3;240;1;SW
2020-05-07;25.8;34.2;29.9;80.0;0.30000000000000004;4.2;3;220;2;SW
2020-05-09;26.4;32.8;28.1;88.0;21.0;6.1;4;270;1;C 
2020-05-11;25.4;35.2;29.2;80.0;21.0;3.6;4;140;2;E 
2020-05-14;25.6;32.8;29.3;81.0;1.35;5.4;4;170;2;C 
2020-05-27;24.6;33.4;29.4;82.0;6.199999999999999;7.7;4;170;2;S 
2020-06-05;24.9;33.8;28.8;82.0;0.9333333333333333;4.9;2;340;2;N 
2020-06-16;25.2;33.7;28.6;81.0;21.733333333333334;1.5;4;180;2;N 
2020-06-17;25.4;33.3;28.1;85.0;12.866666666666667;4.8;4;190;1;C 
2020-06-30;23.6;33.8;27.8;82.0;9.600000000000001;2.3;3;30;2;N 
2020-07-01;24.8;32.0;27.7;81.0;4.800000000000001;6.2;3;220;2;E 
2020-07-11;25.4;32.4;27.4;87.0;24.400000000000002;1.6;3;290;2;NW
2020-07-20;25.4;33.0;28.5;80.0;1.7666666666666666;3.8;3;340;2;N 
2020-07-21;25.0;31.9;27.7;83.0;2.533333333333333;3.1;2;290;2;E 
2020-07-25;25.0;31.2;27.7;79.0;3.25;4.8;4;30;2;NE
2020-07-28;24.3;33.2;28.4;80.0;4.3;5.0;4;60;2;N 
2020-07-30;23.8;31.2;27.6;81.0;0.16666666666666666;6.6;3;40;2;N 
2020-07-31;25.8;30.4;27.4;83.0;0.3333333333333333;0.1;3;10;2;N 
2020-08-02;24.0;29.4;27.0;86.0;1.6666666666666667;1.3;2;30;1;NE
2020-08-03;24.8;33.0;27.5;84.0;2.8333333333333335;0.5;3;10;2;N 
2020-08-05;25.4;31.8;27.9;84.0;6.65;1.0;4;150;2;E 
2020-08-08;25.4;33.0;28.7;79.0;1.8333333333333335;5.4;4;130;2;E 
2020-08-09;25.2;31.0;27.1;89.0;3.566666666666667;7.2;3;20;1;N 
2020-08-21;25.3;32.4;28.0;81.0;2.25;4.6;4;130;2;SE
2020-08-23;25.8;33.5;27.8;83.0;4.1;7.6;4;10;2;NW
2020-08-26;25.6;31.3;27.4;84.0;24.0;3.8;3;330;2;N 
2020-09-05;25.6;33.0;29.0;79.0;34.0;2.0;3;300;2;NW
2020-09-13;24.0;29.2;27.4;83.0;2.9;2.0;3;360;2;E 
2020-09-18;24.6;33.8;30.0;73.0;3.45;3.0;4;280;2;W 
2020-10-02;24.4;34.0;29.1;78.0;2.3333333333333335;5.8;3;360;2;N 
2020-10-03;26.0;32.8;28.3;81.0;2.5666666666666664;5.1;3;320;1;C 
2020-10-05;24.4;30.4;27.8;82.0;3.3;4.4;3;290;2;NW
2020-10-06;25.0;32.6;27.4;86.0;3.8;0.0;4;20;2;C 
2020-10-12;24.8;30.4;27.6;85.0;3.9000000000000004;6.4;4;290;1;C 
2020-10-17;25.0;30.8;26.1;94.0;17.55;0.0;6;90;1;E 
2020-10-21;25.0;33.6;28.5;78.0;5.799999999999999;4.9;3;180;2;W 
2020-10-22;24.2;35.0;29.8;73.0;2.8999999999999995;3.2;4;310;2;NW
2020-10-26;25.4;34.7;28.5;78.0;0.0;5.1;4;150;2;W 
2020-10-27;25.2;31.6;28.0;76.0;0.0;4.8;5;270;3;W 
2020-10-30;25.2;34.3;28.8;72.0;21.900000000000002;1.6;5;90;3;NE
2020-11-01;24.8;32.0;28.1;77.0;24.75;3.1;3;270;2;NE
2020-11-04;24.4;32.8;28.0;81.0;12.666666666666666;2.8;5;190;2;NE
2020-11-09;24.2;34.0;28.9;78.0;7.5;2.9;4;270;2;S 
2020-11-11;24.6;33.2;28.4;82.0;2.5;4.0;3;360;1;C 
2020-11-14;26.2;33.0;28.9;80.0;0.43333333333333335;6.7;5;90;3;NE
2020-11-16;25.4;31.8;28.5;79.0;0.65;3.1;4;270;2;W 
2020-12-01;23.2;34.0;28.4;82.0;15.2;0.8;4;300;2;NW
2020-12-03;23.6;34.6;28.0;83.0;10.75;0.0;4;190;2;NW
2020-12-06;25.6;33.0;29.4;80.0;0.0;7.5;4;310;2;NW
2020-12-09;26.8;33.6;29.4;78.0;5.65;4.7;3;90;1;C 
2020-12-12;25.8;32.4;27.1;87.0;8.75;5.2;4;220;1;C 
2020-12-14;25.4;33.8;28.7;79.0;7.9;3.6;4;310;2;NW
2020-12-16;24.8;33.0;28.2;84.0;4.0;4.6;3;300;2;NW
2020-12-20;24.2;33.5;29.0;77.0;6.233333333333333;0.8;6;250;3;W 
2020-12-21;24.4;33.6;27.5;82.0;7.866666666666667;6.1;4;250;2;W 
2021-01-11;25.4;33.0;28.4;82.0;12.75;5.5;4;260;2;S 
2021-01-14;24.6;31.8;27.7;85.0;32.65;4.0;4;300;3;W 
2021-01-19;25.1;33.8;28.6;84.0;4.5;4.8;4;240;2;SW
2021-01-23;23.5;32.7;28.3;84.0;13.25;0.0;3;300;2;NW
2021-01-26;24.4;34.2;27.7;84.0;15.95;0.1;3;290;2;W 
2021-01-29;24.6;33.0;28.5;80.0;3.5250000000000004;3.3;4;50;2;E 
2021-01-30;25.0;34.2;28.0;82.0;2.35;3.7;3;330;2;NE
2021-01-31;24.6;33.4;28.6;79.0;1.1749999999999998;6.8;5;80;3;E 
2021-02-03;25.0;34.8;28.2;84.0;20.199999999999996;0.0;4;10;2;N 
2021-02-07;24.0;32.5;28.3;82.0;0.5;5.0;4;360;2;E 
2021-02-08;26.2;34.0;28.9;80.0;1.0;1.2;4;30;2;N 
2021-02-12;25.4;27.0;25.6;92.0;11.7;2.7;3;310;1;W 
2021-02-15;22.6;33.0;26.8;85.0;30.92;1.1;3;150;2;E 
2021-02-16;24.0;33.5;27.6;84.0;26.740000000000002;5.5;5;90;2;N 
2021-02-17;23.0;30.6;27.3;86.0;22.56;5.5;5;280;2;C 
2021-02-18;25.0;27.0;25.9;92.0;18.38;0.5;4;310;2;NW
2021-02-20;23.2;31.6;27.4;81.0;7.1;5.0;3;90;2;NE
2021-02-24;24.4;33.9;27.9;84.0;1.45;0.0;4;90;2;E 
2021-02-27;24.2;33.7;27.0;85.0;11.2;5.2;6;130;2;C 
2021-03-02;24.5;34.8;28.4;78.0;9.25;0.3;5;90;3;E 
2021-03-06;24.6;33.2;28.2;79.0;0.5;4.4;5;60;3;NE
2021-03-11;25.2;32.8;27.0;85.0;44.5;3.2;4;140;1;C 
2021-03-16;24.2;33.6;27.5;81.0;12.950000000000001;7.7;4;300;1;C 
2021-03-19;22.4;34.4;28.0;78.0;5.0;3.2;5;80;3;E 
2021-03-27;24.8;34.0;28.2;81.0;1.6333333333333333;0.0;3;300;2;NW
2021-03-28;24.0;33.3;27.5;85.0;1.2666666666666666;5.6;3;170;1;N 
2021-04-03;21.9;33.1;27.8;85.0;19.65;0.8;4;80;1;C 
2021-04-05;24.6;31.6;27.2;86.0;29.3;4.7;3;290;1;C 
2021-04-13;24.8;34.0;27.1;84.0;2.35;0.4;7;230;3;N 
2021-04-17;25.6;31.6;27.4;83.0;16.0;5.8;4;300;1;C 
2021-04-19;24.0;33.6;28.2;80.0;15.35;2.3;4;290;2;W 
2021-04-20;21.8;34.6;28.7;78.0;13.7;4.9;4;200;2;S 
2021-04-21;25.4;33.4;27.8;84.0;12.05;6.2;5;100;2;SW
2021-04-26;24.8;33.8;27.6;86.0;13.45;2.8;3;220;1;S 
2021-05-02;21.4;33.8;28.6;79.0;3.3666666666666667;1.3;6;60;2;E 
2021-05-03;25.0;33.8;28.6;82.0;3.5333333333333337;8.0;3;50;2;NE
2021-05-15;25.2;32.4;28.6;82.0;3.0;2.3;2;310;1;W 
2021-05-17;25.6;32.2;28.0;88.0;1.0;0.0;4;90;2;E 
2021-05-31;26.0;34.8;28.6;82.0;23.6;5.9;5;180;2;S 
2021-06-06;26.0;30.2;27.8;88.0;0.95;4.0;3;280;2;W 
2021-06-09;24.2;32.5;28.0;83.0;4.25;7.8;3;150;2;SE
2021-06-29;24.2;31.1;27.0;84.0;3.9000000000000004;2.8;2;40;1;N 
2021-07-05;24.6;31.3;28.0;82.0;9.059999999999999;5.7;4;250;2;SW
2021-07-06;22.4;31.2;27.6;84.0;11.52;0.4;3;240;1;SW
2021-07-07;24.4;33.3;28.1;79.0;13.98;0.0;5;80;2;E 
2021-07-25;25.4;33.2;28.6;77.0;0.0;7.1;8;160;3;S 
2021-07-31;26.0;30.0;27.6;86.0;0.0;3.6;3;280;2;W 
2021-08-05;24.8;34.2;28.1;80.0;2.3;6.7;5;260;3;SW
2021-08-07;20.4;33.6;28.3;78.0;2.666666666666667;2.2;4;240;2;NE
2021-08-19;24.6;29.8;27.0;85.0;4.5;5.9;4;140;2;SW
2021-09-01;25.0;30.8;27.5;85.0;5.666666666666667;1.8;3;300;2;W 
2021-09-04;22.8;32.2;27.8;80.0;7.866666666666667;1.0;4;310;2;NW
2021-09-10;24.8;33.2;28.7;80.0;17.75;2.95;4;80;2;E 
2021-09-14;24.6;32.6;26.9;88.0;33.55;0.7;5;320;2;NW
2021-09-18;24.6;34.2;28.1;82.0;1.26;1.7;4;170;2;S 
2021-09-19;24.8;33.7;28.3;78.0;2.7800000000000002;1.6;4;170;2;S 
2021-09-20;25.3;33.0;28.0;81.0;3.54;6.2;4;250;2;C 
2021-09-23;25.0;32.5;27.9;81.0;6.5;0.1;3;110;1;E 
2021-09-24;25.2;31.0;27.3;83.0;3.5;2.2;4;300;2;W 
2021-09-29;25.0;32.4;28.2;84.0;2.75;5.3;6;130;2;S 
2021-10-08;25.4;34.2;29.4;78.0;0.7;5.7;4;200;3;SW
2021-10-15;26.9;32.6;27.8;87.0;36.95;2.9;4;220;2;C 
2021-10-25;26.0;32.3;28.2;83.0;1.5333333333333334;5.9;4;190;2;S 
2021-11-04;25.0;33.8;28.3;82.0;10.85;3.7;2;330;1;E 
2021-11-12;25.0;32.2;27.4;86.0;15.45;5.5;5;110;3;NW
2021-11-18;25.0;33.4;27.2;86.0;24.75;1.8;3;180;1;SE
2021-11-24;26.2;30.9;27.4;87.0;9.05;4.1;3;290;1;C 
2021-11-26;25.2;32.4;29.0;80.0;17.2;1.4;2;300;1;C 
2021-11-30;24.4;31.8;27.8;82.0;4.425;0.2;3;80;2;N 
2021-12-01;26.0;34.5;31.5;65.0;4.35;0.4;4;20;2;NW
2021-12-02;25.0;34.8;30.8;70.0;4.275;5.3;4;250;2;W 
